text,label
nhân_viên thô lổ . đên trước mà_lại nhận món ăn sau cùng.hỏi thì nhân_viên trả_lời thô lổ,0
đây là chuổi hê_thống thức_ăn nhanh.chắc moi người ai cũng biết rồi . ai chưa biết.xin hãy đến đây.đến với tôi nào.rồi ban sẽ không tiếc như tôi.bỏ ra 5 sao .,1
nhân_viên làm_ăn lề_mà_lề_mề .,0
"quán đẹp mà đồ_ăn cũng rất ngon , mọi người nên ghé",1
ngon xuất_sắc . các bạn nên tải app mc về để nhận được thêm ưu_đãi nha .,1
unkind ㅜ,0
"khong vao , khong quan tam",0
"chất_lượng đồ_ăn thì không có gì phải nói tuy_nhiên cách_thức làm_việc ở nhà_hàng này lại không hiệu_quả chút nào quán không có loa thông_báo vì quán rất đông khách , lượng người chờ lấy đồ_là rất lớn , có những khách tây hoặc người chờ lấy đồ tại bàn thì không_thể nghe hoặc hiểu được nếu_như nhân_viên chỉ gào mồm lên đọc đơn số ... ra nhận hàng nơi này thực_sự cần một hệ_thống loa và mic để nhân_viên đọc số thứ_tự trên loa tránh cho việc đồ làm xong nhưng người nhận không biết cứ chờ và và lượng khách tới liên_tục sẽ gây hiện_tượng chờ đồ lâu , ách_tắc không cần_thiết",2
"tôi đi vào bên trong bị đặt_hàng sai , rắc_rối với tiếng_anh",2
"nhân_viên quá tệ , có cái mã đưa cũng không chịu nhập cho khách thế mấy người tạo ra mã làm mẹ gì không bao_giờ qua lần 2",0
"hôm_nay tôi đến dùng tại mcdonad chú bảo_vệ mập mập ngồi với mấy a tài_xế ol . chú nói_chuyện rất mất lịch_sự , tục tiểu_cần xem_xét lại hình_ảnh bảo_vệ tại đây .",0
"tránh thứ tư , bạn sẽ hiểu tại_sao :khuôn mặt rạng rỡ với đôi mắt cười:",2
"vị_trí thuận_tiện hẹn_hò gặp_gỡ , nhiều chổ đậu xe ô_tô và xe 2 bánh tải app mcdonald để nhận thông_báo khuyến_mãi",2
"còn chỗ để ô_tô mà bảo_vệ vẫn để vật chắn để giữ xe ngoài lấy tiền . vì khách vô ăn không được lấy tiền giữ xe nên không cho để xe vô ăn , mình phải quay 1 vòng mua đem về . nhân_viên trong quầy thì ok",0
"một trong những trải_nghiệm tồi_tệ nhất của mcdonald mcdonald mà tôi từng có . trước_hết , đơn đặt_hàng của chúng_tôi đã bị lãng_quên và chúng_tôi phải hỏi sau khoảng 15 phút khi nó biến mất trên màn_hình . sau khi nhân_viên không thân_thiện đã cho chúng_tôi đơn đặt_hàng của chúng_tôi và chúng_tôi đã đi đến bàn của chúng_tôi , chúng_tôi nhận thấy rằng burger của chúng_tôi đã hoàn_toàn tách ra và một_nửa thậm_chí còn ở trong túi . chất_lượng thực_phẩm là bên cạnh cái nhìn như mcdonald , và không khác lắm với châu âutây mcdonald . bên cạnh đó tôi sẽ không khuyên bạn nên đến nhà_hàng này .",0
