name,text,stars
José Antônio Silva,Muito básico.,4
M Hasan Porosh,"They've Free Pork Bacon In Salad, I'm Muslim So..",3
Max Gray,"In this McDonald's, they feed hair.",1
Chuluunbaatar Battulga,difficult to order,5
Truong Cong Minh,"Đẳng cấp hơn các loại gà rán khác, cảm giác đang ở Mỹ chứ ko phải vn, 22:00 vẫn đông khách..",5
GEORGE STRAVOPODIS,"Βρώμικο το κατάστημα, απίστευτη φασαρία",3
Willem Joubert,"Even if there was a bit of a language barrier, we could easily order food, and the staff is extremely nice!",5
Yenlex Nguyen,"Không hiểu sao phục vụ ăn tại chỗ lại chỉ để bánh vào hộp và không có bọc, tụi mình ăn cầm rất bất tiện. Xuống quầy xin giấy bọc thì mình được nhân viên hướng dẫn là hứng vào hộp hoặc vào khay. Ok i'm fine",2
Наталья Чащина,"прихожу на завтрак, а второй этаж закрыт. первый раз пришла к открытию, но во второй раз в 8:30",3
Balayet Mamun BD,Good food,5
Another Me,Không có chỗ để xe,5
Richard Magtibay,Need more improvement on service. Fast and accuracy must be prioritize.,1
Yannick Berger,"Sauber und aufgeräumt, als Abwechslung zu vietnamesischen Essen geeignet.",4
Lester,Not what you call efficient... Isnt the standard of the franchise. Everything is chaotic and it takes forever,1
Joel Ramon Baumann,Für einmal kein Reis - nette Abwechslung (;,5
Manoj Kher,No vegetarian option available here for Indian tourist,5
Lon Faure,There is a toilet on the second floor.,3
Pohan Pohan,Makanan kurang beragam,4
King,Not well managed place. Dark and slow preparation of food. Quality of food a little bit below average.,3
Mohammed AL-Hitmi,Nothing special just the classic McDonald's menu,3
ngo Lee (Ham),"注文マシン、トイレあり
昼時は混雑し、提供に時間かかる
ベトナムのマクドナルドは単品ではない一部のバリューセットだけべらぼうに安いので要確認",4
Alex A,不错,5
dao quan,Không gian hơi bé,5
Ciptandi Syahlavida,Friendly staff,5
Trường Trần,Địa điểm của giới nhà giàu,4
tuyền nguyễn,"cũng tốt. đồ ăn ngon , đợi không quá lâu. gần ngay bờ hồ hoàn kiếm",4
Bui Thuc Dong,"Đơn ra nhanh, ăn ngon miệng, hàng hơi bé. Cuối tuần nên nhà mình chuyển qua mang đi các bạn vui vẻ đóng đồ",5
DUONG HA (GEMS),"The best flavor in fried chicken!  I think so!
DUONG HA GEMS (Ha Noi in Viet Nam)
Whatapp: +84979451921",5
Ngọc Lan Vũ,"Thanh toán chuyển khoản xong, máy báo lỗi không ra hoá đơn
Cửa hàng ko hoàn tiền mà bảo chuyển khoản thêm lần nữa
Rồi nói sẽ hoàn tiền sau, và đến hnay là 1 tuần chưa hoàn tiền
Cho số đt nhưng gọi ko bắt máy",1
nhat lu thi,Quá tệ,1
Amrik Singh,What to say about Mc D. It's just amazing go to universal food whichever part of the world you are in.,5
엘파라코,"베트남 맥도날드만의 밥 메뉴는 밥이 맛 없어요
쌀밥을 남겨야만 할 정도로 맛 없는 쌀
날리는 쌀이라서가 아니라 맛이 최악
밥 메뉴를 먹는다면 소스는 마늘피쉬소스 말고
무난하게 바베큐 소스로 하세요 제발요!
점수가 낮은 이유는
여기 하노이 길거리보다 더 정신 없음
다른 매장으로 ㄱㄱ",1
Thamaraiselvan G,A place to fill your tummy 😁 perfect when you are not in the mood for testing new delicacies,4
Real Speed,暑いハノイで、憩いの休憩場所です。ソフトクリームも安く、マクドナルドブランドで安心できます。注文する機械も沢山あって、注文し易いと思います。店内と座席に関してですが、清掃があまりされていないと思いました。沢山の人が使うので、もう少し綺麗だと良いです。,4
Sana Ansari,Food was good but Cockroaches were roaming. Not sure if they were even present in the kitchen. Who knows wether the food was hygienic.,1
story Hanoi,베트남이 아무래 흡연에 관대한 나라라고는 하지만...실내에서 흡연하는 대학생들이 있어요...직원들은 제지하지 않아요..,3
Trường Phi Nguyễn,Mình ăn Mc Donald's Hồ Gươm khá nhiều nên mình đánh giá chất lượng và phục vụ tốt. Không gian hợp lý vì nó ngay bờ hồ,5
"Hứa, Hựu Tinh",越南為數不多的麥當勞,5
Emily Rose,Great food. Went there multiple times while In Hanoi. The food was always ready in less than 10 minutes. The food quality and portions were very good. The food wasn’t expensive. Staff had good English and are very helpful.,5
Mirtunjay Kumar,No veg option is there,1
christophe humblet,"Went here twice, very decent and good food. Only bad thing is that the burgers are always a bit in the cold side",4
David Vedder,"It's a Macca's, it's clean and tidy, has free WiFi, toilets, airconditioning, and reasonably priced food.
Nothing to complain about, job well done.",4
Trần Tuyến,Rất đẹp,5
Mikel Corral,bastante petado casi siempre pero bueno un oasis occidental,3
Paula Simpson,"Mcdonalds is McDonalds whoever you are.
Staff was friendly and efficient",5
Hiếu Lê,"Quán làm đơn cho xế rất lâu. Gọi tổng đài , tổng đài bảo đợi đồ mang ra. Đợi 15-20p chưa thấy đâu. Phải 1 xế trông xe 1 xế vào lấy. Nói chung là tệ",1
Hiếu Lê,Thái độ nhân viên tệ. Gọi tổng đài bảo xế đợi ở ngoài. Đợi 15-20p gọi cho quán quán vẫn bảo đợi. Nói chung là tệ,1
Lamvn,Bánh hamberger rất ngon,5
Sebastian Neo,Long queue. Very crowded. Food was a bit below expectations.,4
faiz abdul rasheed,"Service I meant is cashier couldn't understand English and speak, it should not be happening in an international franchise",1
Ameba Protozoo,Aire acondicionado a full. Muy adecuado para cuando estas sudado como un gitano y hueles a hostias.,5
Hân Phạm,"Quá tệ , nhân viên thì kém",1
vIcTor Lim,Like any McDonald's but don't even think of getting a seat during weekends. It's pack,4
Nhu Loc Dinh,Das war gut und der Service war toll,5
CHIYUN CHIU,便宜又快，生菜沙拉不會預先混合美乃滋，給過！地點好。,5
Pavan Johal,"Nice and clean McDonald’s with decent food. Really love how sauces are free on tap, unlike Hong Kong. So, that was a bonus!",4
Thuy Ngô,"Không gian gọi là ư là đông, mới có thứ3 thui ạ, chỗ để xe 10k:) nay mình gọi suất chessberger combo nước 69k cũng được nhưng bánh mỳ hơi hôi nhg đc caia phục vụ tốt, có cái tích điểm đổi quà nhg do mình k biết cách dùng nên bỏ qua. Ăn gọi cho bít thui giá nó cũng ngang tầm lotteria í mn. Điều hòa mát nha mn",4
Javier P.,Menú bigMc a unos 4€ al cambio,4
paul vdschans,"One toilet is a little less, and in the whole of Vietnam that have little portions. Staff was good and fast",4
Beanice's Life,"View đẹp, đồ ăn bình thường",4
Ngọc Anh Nguyễn Thị,Gà ok burger bình thường,5
Do Manh Cuong,"Đồ ăn ở McDonald’s khá ngon , nhiểu combo giá hợp lý , nhân viên phục vụ chu đáo , có order online tại quán rất tiện !",5
