Review,Sentiment
Rất cơ bản.,Positive
"Họ đã miễn phí thịt xông khói thịt lợn trong salad, tôi là người Hồi giáo vì vậy ..",Neutral
"Trong McDonald's, họ cho tóc ăn.",Negative
khó đặt hàng,Positive
"Đẳng cấp hơn các loại gà rán khác, cảm giác đang ở Mỹ chứ ko phải vn, 22:00 vẫn đông khách..",Positive
"Cửa hàng bẩn, ồn ào đáng kinh ngạc",Neutral
"Ngay cả khi có một chút rào cản ngôn ngữ, chúng tôi có thể dễ dàng đặt hàng thực phẩm, và nhân viên rất tốt!",Positive
"Không hiểu sao phục vụ ăn tại chỗ lại chỉ để bánh vào hộp và không có bọc, tụi mình ăn cầm rất bất tiện. Xuống quầy xin giấy bọc thì mình được nhân viên hướng dẫn là hứng vào hộp hoặc vào khay. Ok i'm fine",Negative
"Tôi đến ăn sáng, và tầng hai đã đóng cửa. Lần đầu tiên đến khai mạc, nhưng lần thứ hai lúc 8:30",Neutral
Thức ăn ngon,Positive
Không có chỗ để xe,Positive
Cần cải thiện hơn về dịch vụ. Nhanh chóng và chính xác phải được ưu tiên.,Negative
"Sạch sẽ và ngăn nắp, thích hợp như một sự thay đổi đối với thực phẩm Việt Nam.",Positive
Không phải những gì bạn gọi là hiệu quả ... không phải là tiêu chuẩn của nhượng quyền thương mại. Mọi thứ đều hỗn loạn và nó mất mãi mãi,Negative
Cho một lần không có gạo - thay đổi tốt (;,Positive
Không có lựa chọn ăn chay nào ở đây cho khách du lịch Ấn Độ,Positive
Có một nhà vệ sinh trên tầng hai.,Neutral
Thức ăn ít đa dạng hơn,Positive
Không được quản lý tốt. Chuẩn bị tối và chậm thực phẩm. Chất lượng thực phẩm dưới mức trung bình một chút.,Neutral
Không có gì đặc biệt chỉ là thực đơn của McDonald cổ điển,Neutral
"Máy đặt hàng và nhà vệ sinh có sẵn
Nó đông đúc trong giờ ăn trưa và dành thời gian để phục vụ
Chỉ có một số bộ giá trị ở Việt Nam không có sẵn riêng lẻ, vì vậy vui lòng kiểm tra chúng.",Positive
Tốt,Positive
Không gian hơi bé,Positive
Nhân viên thân thiện,Positive
Địa điểm của giới nhà giàu,Positive
"cũng tốt. đồ ăn ngon , đợi không quá lâu. gần ngay bờ hồ hoàn kiếm",Positive
"Đơn ra nhanh, ăn ngon miệng, hàng hơi bé. Cuối tuần nên nhà mình chuyển qua mang đi các bạn vui vẻ đóng đồ",Positive
"Hương vị tốt nhất trong gà rán!  Tôi nghĩ như vậy!
Duong Ha Gems (ha noi ở Việt Nam)
WhatApp: +84979451921",Positive
"Thanh toán chuyển khoản xong, máy báo lỗi không ra hoá đơn
Cửa hàng ko hoàn tiền mà bảo chuyển khoản thêm lần nữa
Rồi nói sẽ hoàn tiền sau, và đến hnay là 1 tuần chưa hoàn tiền
Cho số đt nhưng gọi ko bắt máy",Negative
Quá tệ,Negative
"Những gì để nói về MC D. Thật tuyệt vời khi đi đến Universal Food, bất cứ phần nào của thế giới bạn đang ở.",Positive
