Review,Sentiment
nhan vien noi truyen kho nghe..,0
e phục vụ quá tệ.,0
vô quán ắn với uống coffee mà ngồi từ lúc ăn đến lúc về chả thấy nhân viên dọn bàn. bà ghế luôn trong tình trạng nhết nhác. hôm nay 185 tôi lại ra nơi quen thuộc và mọi thứ xung quanh tôi lại toàn là rác và rác. hơn 30 phút rồi mà mọi thứ vẫn không có sự thay đổi.,0
"wf chán lắm, không bao giờ chạy nổi cái trang để bấm kết nối cả..",0
"ăn tối trong một trăm lần nhưng đặt hàng trực tuyến. nếu bạn không muốn giảm giá, thì không làm cho nó và khiến khách hàng cảm thấy bị lừa dối. tôi đã đặt hàng một combo có tên là kích thước lớn của 3 cánh gà với giảm giá 90k và trả 110k thông qua grab adv. và nhận được 3 miếng gà nhỏ như ngón tay con tôi. lãng phí thời gian của tôi. thất vọng..",0
"Đến đây lần nào cũng tệ, nhân viên thái độ lồi lõm.",0
"Chất lượng không ổn định, đôi khi đồ ăn nguội lạnh.",0
"Quán ồn ào, không thoải mái để ăn uống.",0
"Thời gian chờ đợi quá lâu, nhân viên làm việc chậm chạp.",0
"Vệ sinh kém, bàn ghế bẩn thỉu.",0
"Không hài lòng với dịch vụ giao hàng, đồ ăn đến muộn và nguội.",0
"Nhân viên thiếu nhiệt tình, không sẵn sàng giúp đỡ khách hàng.",0
Giá cả không tương xứng với chất lượng sản phẩm.,0
Không có khuyến mãi như quảng cáo.,0
"Trải nghiệm tồi tệ, sẽ không quay lại nữa.",0
