sentence,sentiment,tokenized_text,emoji to text,emoji to text + stopwords
rất cơ bản.,positive,rất cơ_bản .,rất cơ_bản .,cơ_bản
"họ đã miễn phí thịt xông khói thịt lợn trong salad, tôi là người hồi giáo vì vậy ..",neutral,"họ đã miễn_phí thịt xông khói thịt lợn trong salad , tôi là người hồi_giáo vì_vậy ..","họ đã miễn_phí thịt xông khói thịt lợn trong salad , tôi là người hồi_giáo vì_vậy ..",miễn_phí thịt xông khói thịt lợn salad hồi_giáo vì_vậy ..
"trong mcdonalds, họ cho tóc ăn.",negative,"trong mcdonalds , họ cho tóc ăn .","trong mcdonalds , họ cho tóc ăn .",mcdonalds tóc
khó đặt hàng,positive,khó đặt_hàng,khó đặt_hàng,đặt_hàng
"đẳng cấp hơn các loại gà rán khác, cảm giác đang ở mỹ chứ không phải vn, 2200 vẫn đông khách..",positive,"đẳng_cấp hơn các loại gà rán khác , cảm_giác đang ở mỹ chứ không phải vn , 2200 vẫn đông khách ..","đẳng_cấp hơn các loại gà rán khác , cảm_giác đang ở mỹ chứ không phải vn , 2200 vẫn đông khách ..",đẳng_cấp gà rán mỹ vn 2200 đông ..
"cửa hàng bẩn, ồn ào đáng kinh ngạc",neutral,"cửa_hàng bẩn , ồn_ào đáng kinh_ngạc","cửa_hàng bẩn , ồn_ào đáng kinh_ngạc",cửa_hàng bẩn ồn_ào kinh_ngạc
"ngay cả khi có một chút rào cản ngôn ngữ, chúng tôi có thể dễ dàng đặt hàng thực phẩm, và nhân viên rất tốt",positive,"ngay cả khi có một_chút rào_cản ngôn_ngữ , chúng_tôi có_thể dễ_dàng đặt_hàng thực_phẩm , và nhân_viên rất tốt","ngay cả khi có một_chút rào_cản ngôn_ngữ , chúng_tôi có_thể dễ_dàng đặt_hàng thực_phẩm , và nhân_viên rất tốt",một_chút rào_cản ngôn_ngữ chúng_tôi có_thể dễ_dàng đặt_hàng thực_phẩm nhân_viên
"không hiểu sao phục vụ ăn tại chỗ lại chỉ để bánh vào hộp và không có bọc, tụi mình ăn cầm rất bất tiện. xuống quầy xin giấy bọc thì mình được nhân viên hướng dẫn là hứng vào hộp hoặc vào khay. ok im fine",negative,"không hiểu sao phục_vụ ăn tại_chỗ lại chỉ để bánh vào hộp và không có bọc , tụi mình ăn cầm rất bất_tiện . xuống quầy xin giấy bọc thì mình được nhân_viên hướng_dẫn là hứng vào hộp hoặc vào khay . ok im fine","không hiểu sao phục_vụ ăn tại_chỗ lại chỉ để bánh vào hộp và không có bọc , tụi mình ăn cầm rất bất_tiện . xuống quầy xin giấy bọc thì mình được nhân_viên hướng_dẫn là hứng vào hộp hoặc vào khay . ok im fine",phục_vụ tại_chỗ bánh hộp bọc tụi cầm bất_tiện quầy giấy bọc nhân_viên hướng_dẫn hứng hộp khay ok im fine
"tôi đến ăn sáng, và tầng hai đã đóng cửa. lần đầu tiên đến khai mạc, nhưng lần thứ hai lúc 830",neutral,"tôi đến ăn sáng , và tầng hai đã đóng_cửa . lần đầu_tiên đến khai_mạc , nhưng lần thứ hai lúc 830","tôi đến ăn sáng , và tầng hai đã đóng_cửa . lần đầu_tiên đến khai_mạc , nhưng lần thứ hai lúc 830",tầng hai đóng_cửa đầu_tiên khai_mạc hai 830
thức ăn ngon,positive,thức_ăn ngon,thức_ăn ngon,thức_ăn ngon
không có chỗ để xe,positive,không có chỗ để xe,không có chỗ để xe,chỗ xe
cần cải thiện hơn về dịch vụ. nhanh chóng và chính xác phải được ưu tiên.,negative,cần cải_thiện hơn về dịch_vụ . nhanh_chóng và chính_xác phải được ưu_tiên .,cần cải_thiện hơn về dịch_vụ . nhanh_chóng và chính_xác phải được ưu_tiên .,cải_thiện dịch_vụ nhanh_chóng chính_xác ưu_tiên
"sạch sẽ và ngăn nắp, thích hợp như một sự thay đổi đối với thực phẩm việt nam.",positive,"sạch_sẽ và ngăn_nắp , thích_hợp như một sự thay_đổi đối_với thực_phẩm việt_nam .","sạch_sẽ và ngăn_nắp , thích_hợp như một sự thay_đổi đối_với thực_phẩm việt_nam .",sạch_sẽ ngăn_nắp thích_hợp thay_đổi đối_với thực_phẩm việt_nam
không phải những gì bạn gọi là hiệu quả ... không phải là tiêu chuẩn của nhượng quyền thương mại. mọi thứ đều hỗn loạn và nó mất mãi mãi,negative,không phải những gì bạn gọi là hiệu_quả ... không phải là tiêu_chuẩn của nhượng quyền thương_mại . mọi thứ đều hỗn_loạn và nó mất mãi_mãi,không phải những gì bạn gọi là hiệu_quả ... không phải là tiêu_chuẩn của nhượng quyền thương_mại . mọi thứ đều hỗn_loạn và nó mất mãi_mãi,gọi hiệu_quả ... tiêu_chuẩn nhượng quyền thương_mại hỗn_loạn mãi_mãi
cho một lần không có gạo thay đổi tốt,positive,cho một lần không có gạo thay_đổi tốt,cho một lần không có gạo thay_đổi tốt,gạo thay_đổi
không có lựa chọn ăn chay nào ở đây cho khách du lịch ấn độ,positive,không có lựa_chọn ăn_chay nào ở đây cho khách du_lịch ấn_độ,không có lựa_chọn ăn_chay nào ở đây cho khách du_lịch ấn_độ,lựa_chọn ăn_chay du_lịch ấn_độ
có một nhà vệ sinh trên tầng hai.,neutral,có một nhà_vệ_sinh trên tầng hai .,có một nhà_vệ_sinh trên tầng hai .,nhà_vệ_sinh tầng hai
thức ăn ít đa dạng hơn,positive,thức_ăn ít đa_dạng hơn,thức_ăn ít đa_dạng hơn,thức_ăn đa_dạng
không được quản lý tốt. chuẩn bị tối và chậm thực phẩm. chất lượng thực phẩm dưới mức trung bình một chút.,neutral,không được quản_lý tốt . chuẩn_bị tối và chậm thực_phẩm . chất_lượng thực_phẩm dưới mức trung_bình một_chút .,không được quản_lý tốt . chuẩn_bị tối và chậm thực_phẩm . chất_lượng thực_phẩm dưới mức trung_bình một_chút .,quản_lý chuẩn_bị tối chậm thực_phẩm chất_lượng thực_phẩm trung_bình một_chút
không có gì đặc biệt chỉ là thực đơn của mcdonald cổ điển,neutral,không có gì đặc_biệt chỉ là thực_đơn của mcdonald cổ_điển,không có gì đặc_biệt chỉ là thực_đơn của mcdonald cổ_điển,đặc_biệt thực_đơn mcdonald cổ_điển
"máy đặt hàng và nhà vệ sinh có sẵn nó đông đúc trong giờ ăn trưa và dành thời gian để phục vụ chỉ có một số bộ giá trị ở việt nam không có sẵn riêng lẻ, vì vậy vui lòng kiểm tra chúng.",positive,"máy đặt_hàng và nhà_vệ_sinh có sẵn nó đông_đúc trong giờ ăn trưa và dành thời_gian để phục_vụ chỉ có một_số bộ giá_trị ở việt_nam không có sẵn riêng_lẻ , vì_vậy vui_lòng kiểm_tra chúng .","máy đặt_hàng và nhà_vệ_sinh có sẵn nó đông_đúc trong giờ ăn trưa và dành thời_gian để phục_vụ chỉ có một_số bộ giá_trị ở việt_nam không có sẵn riêng_lẻ , vì_vậy vui_lòng kiểm_tra chúng .",máy đặt_hàng nhà_vệ_sinh sẵn đông_đúc trưa thời_gian phục_vụ một_số giá_trị việt_nam sẵn riêng_lẻ vì_vậy vui_lòng kiểm_tra
tốt,positive,tốt,tốt,
không gian hơi bé,positive,không_gian hơi bé,không_gian hơi bé,không_gian hơi bé
nhân viên thân thiện,positive,nhân_viên thân_thiện,nhân_viên thân_thiện,nhân_viên thân_thiện
địa điểm của giới nhà giàu,positive,địa_điểm của giới nhà giàu,địa_điểm của giới nhà giàu,địa_điểm giới giàu
"cũng tốt. đồ ăn ngon , đợi không quá lâu. gần ngay bờ hồ hoàn kiếm",positive,"cũng tốt . đồ_ăn ngon , đợi không quá lâu . gần ngay bờ hồ hoàn_kiếm","cũng tốt . đồ_ăn ngon , đợi không quá lâu . gần ngay bờ hồ hoàn_kiếm",đồ_ăn ngon đợi bờ hồ hoàn_kiếm
"đơn ra nhanh, ăn ngon miệng, hàng hơi bé. cuối tuần nên nhà mình chuyển qua mang đi các bạn vui vẻ đóng đồ",positive,"đơn ra nhanh , ăn ngon_miệng , hàng hơi bé . cuối tuần nên nhà mình chuyển qua mang đi các bạn vui_vẻ đóng đồ","đơn ra nhanh , ăn ngon_miệng , hàng hơi bé . cuối tuần nên nhà mình chuyển qua mang đi các bạn vui_vẻ đóng đồ",đơn ngon_miệng hàng hơi bé vui_vẻ đóng đồ
hương vị tốt nhất trong gà rán tôi nghĩ như vậy duong ha gems ha noi ở việt nam whatapp 84979451921,positive,hương_vị tốt nhất trong gà rán tôi nghĩ như_vậy duong ha gems ha noi ở việt_nam whatapp 84979451921,hương_vị tốt nhất trong gà rán tôi nghĩ như_vậy duong ha gems ha noi ở việt_nam whatapp 84979451921,hương_vị gà rán như_vậy duong ha gems ha noi việt_nam whatapp 84979451921
"thanh toán chuyển khoản xong, máy báo lỗi không ra hoá đơn cửa hàng không hoàn tiền mà bảo chuyển khoản thêm lần nữa rồi nói sẽ hoàn tiền sau, và đến hnay là 1 tuần chưa hoàn tiền cho số đt nhưng gọi không bắt máy",negative,"thanh_toán chuyển_khoản xong , máy báo lỗi không ra hoá_đơn cửa_hàng không hoàn tiền mà bảo chuyển_khoản thêm lần nữa rồi nói sẽ hoàn tiền sau , và đến hnay là 1 tuần chưa hoàn tiền cho số đt nhưng gọi không bắt máy","thanh_toán chuyển_khoản xong , máy báo lỗi không ra hoá_đơn cửa_hàng không hoàn tiền mà bảo chuyển_khoản thêm lần nữa rồi nói sẽ hoàn tiền sau , và đến hnay là 1 tuần chưa hoàn tiền cho số đt nhưng gọi không bắt máy",thanh_toán chuyển_khoản xong máy báo lỗi hoá_đơn cửa_hàng hoàn tiền bảo chuyển_khoản hoàn tiền hnay 1 hoàn tiền đt gọi bắt máy
quá tệ,negative,quá tệ,quá tệ,tệ
"những gì để nói về mc d. thật tuyệt vời khi đi đến universal food, bất cứ phần nào của thế giới bạn đang ở.",positive,"những gì để nói về mc d . thật tuyệt_vời khi đi đến universal food , bất_cứ phần_nào của thế_giới bạn đang ở .","những gì để nói về mc d . thật tuyệt_vời khi đi đến universal food , bất_cứ phần_nào của thế_giới bạn đang ở .",mc d tuyệt_vời universal food bất_cứ phần_nào thế_giới
"thực đơn gạo của mcdonald, việt nam, không ngon. gạo không đủ tốt để để gạo nó không phải vì nó là một loại gạo bay nếu bạn ăn menu gạo, nước sốt là nước mắm tỏi vui lòng sử dụng nước sốt thịt nướng lý do điểm số thấp là đây là điên rồ hơn đường phố của hà nội đến một cửa hàng khác aa",negative,"thực_đơn gạo của mcdonald , việt_nam , không ngon . gạo không đủ tốt để để gạo nó không phải vì nó là một loại gạo bay nếu bạn ăn menu gạo , nước sốt là nước_mắm tỏi vui_lòng sử_dụng nước sốt thịt nướng lý_do điểm_số thấp là đây là điên_rồ hơn đường_phố của hà_nội đến một cửa_hàng khác aa","thực_đơn gạo của mcdonald , việt_nam , không ngon . gạo không đủ tốt để để gạo nó không phải vì nó là một loại gạo bay nếu bạn ăn menu gạo , nước sốt là nước_mắm tỏi vui_lòng sử_dụng nước sốt thịt nướng lý_do điểm_số thấp là đây là điên_rồ hơn đường_phố của hà_nội đến một cửa_hàng khác aa",thực_đơn gạo mcdonald việt_nam ngon gạo gạo gạo bay menu gạo sốt nước_mắm tỏi vui_lòng sử_dụng sốt thịt nướng lý_do điểm_số điên_rồ đường_phố hà_nội cửa_hàng aa
một nơi để lấp đầy bụng của bạn 😁 hoàn hảo khi bạn không có tâm trạng để thử nghiệm các món ngon mới,positive,một nơi để lấp đầy bụng của bạn 😁 hoàn_hảo khi bạn không có tâm_trạng để thử_nghiệm các món ngon mới,một nơi để lấp đầy bụng của bạn :khuôn mặt rạng rỡ với đôi mắt cười: hoàn_hảo khi bạn không có tâm_trạng để thử_nghiệm các món ngon mới,lấp bụng :khuôn mặt rạng rỡ đôi mắt cười: hoàn_hảo tâm_trạng thử_nghiệm món ngon
"đó là một nơi thư giãn trong hà nội nóng. kem mềm cũng rẻ, và bạn có thể yên tâm với thương hiệu của mcdonald. có nhiều máy để đặt hàng, vì vậy nó dễ đặt hàng. về nội thất và chỗ ngồi, tôi không nghĩ rằng có nhiều việc dọn dẹp. thật tuyệt khi đẹp hơn một chút vì nó được sử dụng bởi rất nhiều người.",positive,"đó là một nơi thư_giãn trong hà_nội nóng . kem mềm cũng rẻ , và bạn có_thể yên_tâm với thương_hiệu của mcdonald . có nhiều máy để đặt_hàng , vì_vậy nó dễ đặt_hàng . về nội_thất và chỗ ngồi , tôi không nghĩ rằng có nhiều việc dọn_dẹp . thật tuyệt khi đẹp hơn một_chút vì nó được sử_dụng bởi rất nhiều người .","đó là một nơi thư_giãn trong hà_nội nóng . kem mềm cũng rẻ , và bạn có_thể yên_tâm với thương_hiệu của mcdonald . có nhiều máy để đặt_hàng , vì_vậy nó dễ đặt_hàng . về nội_thất và chỗ ngồi , tôi không nghĩ rằng có nhiều việc dọn_dẹp . thật tuyệt khi đẹp hơn một_chút vì nó được sử_dụng bởi rất nhiều người .",thư_giãn hà_nội nóng kem mềm rẻ có_thể yên_tâm thương_hiệu mcdonald máy đặt_hàng vì_vậy đặt_hàng nội_thất chỗ dọn_dẹp tuyệt đẹp một_chút sử_dụng
thức ăn ngon nhưng gián đang chuyển vùng. không chắc chắn nếu họ thậm chí có mặt trong nhà bếp. ai biết được thức ăn là vệ sinh.,negative,thức_ăn ngon nhưng gián đang chuyển vùng . không chắc_chắn nếu họ thậm_chí có_mặt trong nhà_bếp . ai biết được thức_ăn là vệ_sinh .,thức_ăn ngon nhưng gián đang chuyển vùng . không chắc_chắn nếu họ thậm_chí có_mặt trong nhà_bếp . ai biết được thức_ăn là vệ_sinh .,thức_ăn ngon gián chắc_chắn thậm_chí có_mặt nhà_bếp thức_ăn vệ_sinh
"việt nam là một quốc gia hào phóng trong việc hút thuốc, nhưng có những sinh viên đại học hút thuốc trong nhà ... nhân viên không kiềm chế.",neutral,"việt_nam là một quốc_gia hào_phóng trong việc hút thuốc , nhưng có những sinh_viên đại_học hút thuốc trong nhà ... nhân_viên không kiềm_chế .","việt_nam là một quốc_gia hào_phóng trong việc hút thuốc , nhưng có những sinh_viên đại_học hút thuốc trong nhà ... nhân_viên không kiềm_chế .",việt_nam quốc_gia hào_phóng hút thuốc sinh_viên đại_học hút thuốc ... nhân_viên kiềm_chế
mình ăn mc donalds hồ gươm khá nhiều nên mình đánh giá chất lượng và phục vụ tốt. không gian hợp lý vì nó ngay bờ hồ,positive,mình ăn mc donalds hồ gươm khá nhiều nên mình đánh_giá chất_lượng và phục_vụ tốt . không_gian hợp_lý vì nó ngay bờ hồ,mình ăn mc donalds hồ gươm khá nhiều nên mình đánh_giá chất_lượng và phục_vụ tốt . không_gian hợp_lý vì nó ngay bờ hồ,mc donalds hồ gươm đánh_giá chất_lượng phục_vụ không_gian hợp_lý bờ hồ
một trong số ít mcdonalds ở việt nam,positive,một trong số_ít mcdonalds ở việt_nam,một trong số_ít mcdonalds ở việt_nam,số_ít mcdonalds việt_nam
thức ăn tuyệt vời. đã đến đó nhiều lần khi ở hà nội. thức ăn luôn sẵn sàng trong vòng chưa đầy 10 phút. chất lượng thực phẩm và các phần rất tốt. thức ăn không đắt. nhân viên có tiếng anh tốt và rất hữu ích.,positive,thức_ăn tuyệt_vời . đã đến đó nhiều lần khi ở hà_nội . thức_ăn luôn sẵn_sàng trong vòng chưa đầy 10 phút . chất_lượng thực_phẩm và các phần rất tốt . thức_ăn không đắt . nhân_viên có tiếng anh tốt và rất hữu_ích .,thức_ăn tuyệt_vời . đã đến đó nhiều lần khi ở hà_nội . thức_ăn luôn sẵn_sàng trong vòng chưa đầy 10 phút . chất_lượng thực_phẩm và các phần rất tốt . thức_ăn không đắt . nhân_viên có tiếng anh tốt và rất hữu_ích .,thức_ăn tuyệt_vời hà_nội thức_ăn sẵn_sàng vòng 10 phút chất_lượng thực_phẩm thức_ăn đắt nhân_viên tiếng hữu_ích
không có tùy chọn veg nào ở đó,negative,không có tuỳ chọn veg nào ở đó,không có tuỳ chọn veg nào ở đó,tuỳ veg
"đã đến đây hai lần, rất ngon và thức ăn ngon. chỉ có điều xấu là bánh mì kẹp thịt luôn có một chút ở phía lạnh",positive,"đã đến đây hai lần , rất ngon và thức_ăn ngon . chỉ có_điều xấu là bánh_mì kẹp thịt luôn có một_chút ở phía lạnh","đã đến đây hai lần , rất ngon và thức_ăn ngon . chỉ có_điều xấu là bánh_mì kẹp thịt luôn có một_chút ở phía lạnh",hai ngon thức_ăn ngon có_điều xấu bánh_mì kẹp thịt một_chút lạnh
"đó là một chiếc macca, nó sạch sẽ và gọn gàng, có wifi miễn phí, nhà vệ sinh, điều hòa không khí và thực phẩm có giá hợp lý. không có gì để phàn nàn về, công việc được thực hiện tốt.",positive,"đó là một chiếc macca , nó sạch_sẽ và gọn_gàng , có wifi miễn_phí , nhà_vệ_sinh , điều_hoà_không_khí và thực_phẩm có giá hợp_lý . không có gì để phàn_nàn về , công_việc được thực_hiện tốt .","đó là một chiếc macca , nó sạch_sẽ và gọn_gàng , có wifi miễn_phí , nhà_vệ_sinh , điều_hoà_không_khí và thực_phẩm có giá hợp_lý . không có gì để phàn_nàn về , công_việc được thực_hiện tốt .",macca sạch_sẽ gọn_gàng wifi miễn_phí nhà_vệ_sinh điều_hoà_không_khí thực_phẩm giá hợp_lý phàn_nàn công_việc thực_hiện
rất đẹp,positive,rất đẹp,rất đẹp,đẹp
hầu như luôn luôn nhưng cũng là một ốc đảo phương tây,neutral,hầu_như luôn_luôn nhưng cũng là một ốc_đảo phương tây,hầu_như luôn_luôn nhưng cũng là một ốc_đảo phương tây,hầu_như luôn_luôn ốc_đảo phương tây
"mcdonalds là mcdonalds, dù bạn là ai. nhân viên rất thân thiện và hiệu quả",positive,"mcdonalds là mcdonalds , dù bạn là ai . nhân_viên rất thân_thiện và hiệu_quả","mcdonalds là mcdonalds , dù bạn là ai . nhân_viên rất thân_thiện và hiệu_quả",mcdonalds mcdonalds nhân_viên thân_thiện hiệu_quả
"quán làm đơn cho xế rất lâu. gọi tổng đài , tổng đài bảo đợi đồ mang ra. đợi 1520p chưa thấy đâu. phải 1 xế trông xe 1 xế vào lấy. nói chung là tệ",negative,"quán làm đơn cho xế rất lâu . gọi tổng_đài , tổng_đài bảo đợi đồ mang ra . đợi 1520p chưa thấy đâu . phải 1 xế trông xe 1 xế vào lấy . nói_chung là tệ","quán làm đơn cho xế rất lâu . gọi tổng_đài , tổng_đài bảo đợi đồ mang ra . đợi 1520p chưa thấy đâu . phải 1 xế trông xe 1 xế vào lấy . nói_chung là tệ",quán đơn xế gọi tổng_đài tổng_đài bảo đợi đồ đợi 1520p 1 xế trông xe 1 xế nói_chung tệ
thái độ nhân viên tệ. gọi tổng đài bảo xế đợi ở ngoài. đợi 1520p gọi cho quán quán vẫn bảo đợi. nói chung là tệ,negative,thái_độ nhân_viên tệ . gọi tổng_đài bảo xế đợi ở ngoài . đợi 1520p gọi cho quán quán vẫn bảo đợi . nói_chung là tệ,thái_độ nhân_viên tệ . gọi tổng_đài bảo xế đợi ở ngoài . đợi 1520p gọi cho quán quán vẫn bảo đợi . nói_chung là tệ,thái_độ nhân_viên tệ gọi tổng_đài bảo xế đợi đợi 1520p gọi quán quán bảo đợi nói_chung tệ
bánh hamberger rất ngon,positive,bánh hamberger rất ngon,bánh hamberger rất ngon,bánh hamberger ngon
hàng đợi dài. rất đông đúc. thực phẩm là một chút dưới mức mong đợi.,positive,hàng đợi dài . rất đông_đúc . thực_phẩm là một_chút dưới mức mong_đợi .,hàng đợi dài . rất đông_đúc . thực_phẩm là một_chút dưới mức mong_đợi .,hàng đợi đông_đúc thực_phẩm một_chút mong_đợi
"dịch vụ ý tôi là nhân viên thu ngân không thể hiểu tiếng anh và nói, nó không nên xảy ra trong một nhượng quyền thương mại quốc tế",negative,"dịch_vụ ý tôi là nhân_viên thu_ngân không_thể hiểu tiếng anh và nói , nó không nên xảy ra trong một nhượng quyền thương_mại quốc_tế","dịch_vụ ý tôi là nhân_viên thu_ngân không_thể hiểu tiếng anh và nói , nó không nên xảy ra trong một nhượng quyền thương_mại quốc_tế",dịch_vụ nhân_viên thu_ngân không_thể tiếng xảy nhượng quyền thương_mại quốc_tế
điều hòa không khí đầy đủ. rất thích hợp khi bạn đổ mồ hôi như một người gypsy và mùi cho chủ nhà.,positive,điều_hoà_không_khí đầy_đủ . rất thích_hợp khi bạn đổ mồ_hôi như một người gypsy và mùi cho chủ nhà .,điều_hoà_không_khí đầy_đủ . rất thích_hợp khi bạn đổ mồ_hôi như một người gypsy và mùi cho chủ nhà .,điều_hoà_không_khí đầy_đủ thích_hợp đổ mồ_hôi gypsy mùi chủ
"quá tệ , nhân viên thì kém",negative,"quá tệ , nhân_viên thì kém","quá tệ , nhân_viên thì kém",tệ nhân_viên kém
giống như bất kỳ mcdonald nào nhưng thậm chí không nghĩ đến việc có được một chỗ ngồi trong những ngày cuối tuần. nó là gói,positive,giống như bất_kỳ mcdonald nào nhưng thậm_chí không nghĩ đến việc có được một chỗ ngồi trong những ngày cuối tuần . nó là gói,giống như bất_kỳ mcdonald nào nhưng thậm_chí không nghĩ đến việc có được một chỗ ngồi trong những ngày cuối tuần . nó là gói,bất_kỳ mcdonald thậm_chí chỗ gói
điều đó là tốt và dịch vụ rất tuyệt,positive,điều đó là tốt và dịch_vụ rất tuyệt,điều đó là tốt và dịch_vụ rất tuyệt,dịch_vụ tuyệt
"cheap và nhanh, salad rau diếp sẽ không được trộn trước với meanidates, được đưa ra vị trí tốt.",positive,"cheap và nhanh , salad rau_diếp sẽ không được trộn trước với meanidates , được đưa ra vị_trí tốt .","cheap và nhanh , salad rau_diếp sẽ không được trộn trước với meanidates , được đưa ra vị_trí tốt .",cheap salad rau_diếp trộn meanidates vị_trí
"mcdonald mcdonald đẹp và sạch với thức ăn ngon. thực sự yêu thích cách nước sốt miễn phí trên vòi, không giống như hồng kông. vì vậy, đó là một phần thưởng",positive,"mcdonald mcdonald đẹp và sạch với thức_ăn ngon . thực_sự yêu thích cách nước sốt miễn_phí trên vòi , không giống như hồng_kông . vì_vậy , đó là một phần_thưởng","mcdonald mcdonald đẹp và sạch với thức_ăn ngon . thực_sự yêu thích cách nước sốt miễn_phí trên vòi , không giống như hồng_kông . vì_vậy , đó là một phần_thưởng",mcdonald mcdonald đẹp sạch thức_ăn ngon yêu sốt miễn_phí vòi hồng_kông vì_vậy phần_thưởng
"không gian gọi là ư là đông, mới có thứ3 thôi ạ, chỗ để xe 10k nay mình gọi suất chessberger combo nước 69k cũng được nhưng bánh mỳ hơi hôi nhưng được caia phục vụ tốt, có cái tích điểm đổi quà nhưng do mình không biết cách dùng nên bỏ qua. ăn gọi cho biết thôi giá nó cũng ngang tầm lotteria í mn. điều hòa mát nha mọi người",positive,"không_gian gọi là ư là đông , mới có thứ3 thôi ạ , chỗ để xe 10k nay mình gọi suất chessberger combo nước 69k cũng được nhưng bánh mỳ hơi hôi nhưng được caia phục_vụ tốt , có cái tích điểm đổi quà nhưng do mình không biết cách dùng nên bỏ_qua . ăn gọi cho biết thôi giá nó cũng ngang tầm lotteria í mn . điều_hoà mát nha mọi người","không_gian gọi là ư là đông , mới có thứ3 thôi ạ , chỗ để xe 10k nay mình gọi suất chessberger combo nước 69k cũng được nhưng bánh mỳ hơi hôi nhưng được caia phục_vụ tốt , có cái tích điểm đổi quà nhưng do mình không biết cách dùng nên bỏ_qua . ăn gọi cho biết thôi giá nó cũng ngang tầm lotteria í mn . điều_hoà mát nha mọi người",không_gian gọi đông thứ3 chỗ xe 10k gọi suất chessberger combo 69k bánh mỳ hơi hôi caia phục_vụ tích đổi quà bỏ_qua gọi giá ngang tầm lotteria í mn điều_hoà mát nha
menu bigmc ở mức 4 để thay đổi,positive,menu bigmc ở mức 4 để thay_đổi,menu bigmc ở mức 4 để thay_đổi,menu bigmc 4 thay_đổi
"một nhà vệ sinh ít hơn một chút, và trong toàn bộ việt nam có những phần nhỏ. nhân viên đã tốt và nhanh chóng",positive,"một nhà_vệ_sinh ít hơn một_chút , và trong toàn_bộ việt_nam có những phần nhỏ . nhân_viên đã tốt và nhanh_chóng","một nhà_vệ_sinh ít hơn một_chút , và trong toàn_bộ việt_nam có những phần nhỏ . nhân_viên đã tốt và nhanh_chóng",nhà_vệ_sinh một_chút toàn_bộ việt_nam nhân_viên nhanh_chóng
"view đẹp, đồ ăn bình thường",positive,"view đẹp , đồ_ăn bình_thường","view đẹp , đồ_ăn bình_thường",view đẹp đồ_ăn bình_thường
gà ok burger bình thường,positive,gà ok burger bình_thường,gà ok burger bình_thường,gà ok burger bình_thường
"đồ ăn ở mcdonalds khá ngon , nhiểu combo giá hợp lý , nhân viên phục vụ chu đáo , có order online tại quán rất tiện",positive,"đồ_ăn ở mcdonalds khá ngon , nhiểu combo giá hợp_lý , nhân_viên phục_vụ chu_đáo , có order online tại quán rất tiện","đồ_ăn ở mcdonalds khá ngon , nhiểu combo giá hợp_lý , nhân_viên phục_vụ chu_đáo , có order online tại quán rất tiện",đồ_ăn mcdonalds ngon nhiểu combo giá hợp_lý nhân_viên phục_vụ chu_đáo order online quán tiện
