Review,Sentiment,tokenized_text,emoji to text,emoji to text + stopwords
khá đắt nhưng rất ngon,1,khá đắt nhưng rất ngon,khá đắt nhưng rất ngon,đắt ngon
"thoáng mát, rộng rãi",1,"thoáng mát , rộng_rãi","thoáng mát , rộng_rãi",thoáng mát rộng_rãi
tuyệt vời,1,tuyệt_vời,tuyệt_vời,tuyệt_vời
nơi tốt để đi chơi,1,nơi tốt để đi chơi,nơi tốt để đi chơi,
tôi chỉ ăn mì gạo và hamburger,1,tôi chỉ ăn mì gạo và hamburger,tôi chỉ ăn mì gạo và hamburger,mì gạo hamburger
hoạt động chuyên nghiệp,1,hoạt_động chuyên_nghiệp,hoạt_động chuyên_nghiệp,hoạt_động chuyên_nghiệp
không giam đỉnh của chóp rộng rãi thoáng mát. đồ ăn ngon. bị cái hay đông nên đôi khi phục vụ chậm. mình ghé miết luôn á,1,không giam đỉnh của chóp rộng_rãi thoáng mát . đồ_ăn ngon . bị cái hay đông nên đôi_khi phục_vụ chậm . mình ghé miết luôn á,không giam đỉnh của chóp rộng_rãi thoáng mát . đồ_ăn ngon . bị cái hay đông nên đôi_khi phục_vụ chậm . mình ghé miết luôn á,giam đỉnh chóp rộng_rãi thoáng mát đồ_ăn ngon đông đôi_khi phục_vụ chậm ghé miết
mcd điển hình của bạn sửa chữa ahaha,1,mcd điển_hình của bạn sửa_chữa ahaha,mcd điển_hình của bạn sửa_chữa ahaha,mcd điển_hình sửa_chữa ahaha
hòa bình và yên tĩnh,1,hoà_bình và yên_tĩnh,hoà_bình và yên_tĩnh,hoà_bình yên_tĩnh
thuận đường. có bãi ô tô rộng rãi. vị trí đẹp,1,thuận đường . có bãi ô_tô rộng_rãi . vị_trí đẹp,thuận đường . có bãi ô_tô rộng_rãi . vị_trí đẹp,thuận đường bãi ô_tô rộng_rãi vị_trí đẹp
tôi yêu mcdonald,1,tôi yêu mcdonald,tôi yêu mcdonald,yêu mcdonald
"dịch vụ tốt, thức ăn ngon",1,"dịch_vụ tốt , thức_ăn ngon","dịch_vụ tốt , thức_ăn ngon",dịch_vụ thức_ăn ngon
