Review,Sentiment,OriginalReview
Tôi đã tìm thấy một sợi tóc trong đồ ăn của tôi tại McDonald's.,0,"trong mcdonalds, họ cho tóc ăn."
Thật kinh tởm khi phát hiện ra tóc trong bữa ăn của tôi ở McDonald's.,0,"trong mcdonalds, họ cho tóc ăn."
McDonald's đã phục vụ đồ ăn có tóc cho tôi.,0,"trong mcdonalds, họ cho tóc ăn."
Tôi vô cùng thất vọng khi thấy tóc trong đồ ăn tại McDonald's.,0,"trong mcdonalds, họ cho tóc ăn."
Trải nghiệm ăn uống của tôi tại McDonald's đã bị hủy hoại bởi một sợi tóc.,0,"trong mcdonalds, họ cho tóc ăn."
"Có một sợi tóc lẫn trong đồ ăn của tôi tại McDonald's, thật kinh khủng.",0,"trong mcdonalds, họ cho tóc ăn."
"Tôi không hiểu tại sao khi ăn tại chỗ, bánh lại được đặt trong hộp mà không có lớp bọc nào. Việc cầm bánh để ăn rất bất tiện. Khi tôi xuống quầy xin giấy bọc, nhân viên hướng dẫn tôi hứng bánh vào hộp hoặc khay. Tôi thấy điều này không ổn.",0,"không hiểu sao phục vụ ăn tại chỗ lại chỉ để bánh vào hộp và không có bọc, tụi mình ăn cầm rất bất tiện. xuống quầy xin giấy bọc thì mình được nhân viên hướng dẫn là hứng vào hộp hoặc vào khay. ok im fine"
"Tôi thắc mắc tại sao dịch vụ ăn tại chỗ lại chỉ cung cấp bánh trong hộp mà không có bao bì bảo vệ. Điều này gây khó khăn cho việc cầm nắm khi ăn. Khi tôi yêu cầu giấy gói, nhân viên đề nghị tôi sử dụng hộp hoặc khay để hứng bánh. Tôi không hài lòng với giải pháp này.",0,"không hiểu sao phục vụ ăn tại chỗ lại chỉ để bánh vào hộp và không có bọc, tụi mình ăn cầm rất bất tiện. xuống quầy xin giấy bọc thì mình được nhân viên hướng dẫn là hứng vào hộp hoặc vào khay. ok im fine"
"Tôi cảm thấy khó hiểu khi bánh dùng tại chỗ lại được đựng trong hộp mà không có lớp bọc. Việc này gây ra sự bất tiện khi ăn bằng tay. Khi tôi hỏi xin giấy gói, nhân viên chỉ dẫn tôi dùng hộp hoặc khay để thay thế. Tôi không chấp nhận cách giải quyết này.",0,"không hiểu sao phục vụ ăn tại chỗ lại chỉ để bánh vào hộp và không có bọc, tụi mình ăn cầm rất bất tiện. xuống quầy xin giấy bọc thì mình được nhân viên hướng dẫn là hứng vào hộp hoặc vào khay. ok im fine"
"Tôi không rõ lý do tại sao bánh phục vụ tại chỗ lại chỉ được để trong hộp, không có lớp bọc bên ngoài, gây bất tiện khi cầm ăn. Khi tôi đề nghị giấy gói, nhân viên hướng dẫn tôi dùng hộp hoặc khay để hứng bánh. Điều này làm tôi không thoải mái.",0,"không hiểu sao phục vụ ăn tại chỗ lại chỉ để bánh vào hộp và không có bọc, tụi mình ăn cầm rất bất tiện. xuống quầy xin giấy bọc thì mình được nhân viên hướng dẫn là hứng vào hộp hoặc vào khay. ok im fine"
"Tôi thấy khó hiểu với cách phục vụ tại chỗ khi bánh được đựng trong hộp mà không có giấy bọc, gây bất tiện cho khách hàng khi cầm. Khi tôi yêu cầu giấy bọc, nhân viên lại bảo tôi dùng hộp hoặc khay để hứng bánh. Tôi không đồng ý với cách phục vụ này.",0,"không hiểu sao phục vụ ăn tại chỗ lại chỉ để bánh vào hộp và không có bọc, tụi mình ăn cầm rất bất tiện. xuống quầy xin giấy bọc thì mình được nhân viên hướng dẫn là hứng vào hộp hoặc vào khay. ok im fine"
"Tôi không rõ vì sao bánh ăn tại quán lại chỉ được cho vào hộp mà không có bọc, gây khó khăn khi cầm để ăn. Khi tôi hỏi xin giấy bọc, nhân viên hướng dẫn tôi dùng tạm hộp hoặc khay. Tôi không hài lòng với điều này.",0,"không hiểu sao phục vụ ăn tại chỗ lại chỉ để bánh vào hộp và không có bọc, tụi mình ăn cầm rất bất tiện. xuống quầy xin giấy bọc thì mình được nhân viên hướng dẫn là hứng vào hộp hoặc vào khay. ok im fine"
cần cải thiện hơn về dịch vụ. nhanh chóng và chính xác phải được ưu tiên.,0,cần cải thiện hơn về dịch vụ. nhanh chóng và chính xác phải được ưu tiên.
dịch vụ cần được cải thiện. Tốc độ và độ chính xác nên được ưu tiên.,0,cần cải thiện hơn về dịch vụ. nhanh chóng và chính xác phải được ưu tiên.
cần cải thiện dịch vụ khách hàng. Ưu tiên tốc độ và sự chính xác.,0,cần cải thiện hơn về dịch vụ. nhanh chóng và chính xác phải được ưu tiên.
dịch vụ cần được cải thiện; tốc độ và độ chính xác là rất quan trọng.,0,cần cải thiện hơn về dịch vụ. nhanh chóng và chính xác phải được ưu tiên.
cải thiện dịch vụ là cần thiết. Nhanh chóng và chính xác nên là trọng tâm chính.,0,cần cải thiện hơn về dịch vụ. nhanh chóng và chính xác phải được ưu tiên.
cần có những cải tiến về dịch vụ. Tốc độ và độ chính xác nên được đặt lên hàng đầu.,0,cần cải thiện hơn về dịch vụ. nhanh chóng và chính xác phải được ưu tiên.
không phải những gì bạn gọi là hiệu quả ... không phải là tiêu chuẩn của nhượng quyền thương mại. mọi thứ đều hỗn loạn và nó mất mãi mãi.,0,không phải những gì bạn gọi là hiệu quả ... không phải là tiêu chuẩn của nhượng quyền thương mại. mọi thứ đều hỗn loạn và nó mất mãi mãi
không phải những gì bạn gọi là hiệu quả ... không phải là tiêu chuẩn của nhượng quyền thương mại. mọi thứ đều hỗn loạn và nó mất mãi mãi.,0,không phải những gì bạn gọi là hiệu quả ... không phải là tiêu chuẩn của nhượng quyền thương mại. mọi thứ đều hỗn loạn và nó mất mãi mãi
không phải những gì bạn gọi là hiệu quả ... không phải là tiêu chuẩn của nhượng quyền thương mại. mọi thứ đều hỗn loạn và nó mất mãi mãi.,0,không phải những gì bạn gọi là hiệu quả ... không phải là tiêu chuẩn của nhượng quyền thương mại. mọi thứ đều hỗn loạn và nó mất mãi mãi
không phải những gì bạn gọi là hiệu quả ... không phải là tiêu chuẩn của nhượng quyền thương mại. mọi thứ đều hỗn loạn và nó mất mãi mãi.,0,không phải những gì bạn gọi là hiệu quả ... không phải là tiêu chuẩn của nhượng quyền thương mại. mọi thứ đều hỗn loạn và nó mất mãi mãi
không phải những gì bạn gọi là hiệu quả ... không phải là tiêu chuẩn của nhượng quyền thương mại. mọi thứ đều hỗn loạn và nó mất mãi mãi.,0,không phải những gì bạn gọi là hiệu quả ... không phải là tiêu chuẩn của nhượng quyền thương mại. mọi thứ đều hỗn loạn và nó mất mãi mãi
không phải những gì bạn gọi là hiệu quả ... không phải là tiêu chuẩn của nhượng quyền thương mại. mọi thứ đều hỗn loạn và nó mất mãi mãi.,0,không phải những gì bạn gọi là hiệu quả ... không phải là tiêu chuẩn của nhượng quyền thương mại. mọi thứ đều hỗn loạn và nó mất mãi mãi
"Tôi đã thanh toán bằng chuyển khoản nhưng máy báo lỗi và không in hóa đơn. Cửa hàng từ chối hoàn tiền và yêu cầu tôi chuyển khoản thêm một lần nữa, hứa sẽ hoàn lại sau. Đến nay đã một tuần trôi qua, tôi vẫn chưa nhận được tiền hoàn lại vào số điện thoại của mình và họ không bắt máy khi tôi gọi.",0,"thanh toán chuyển khoản xong, máy báo lỗi không ra hoá đơn cửa hàng không hoàn tiền mà bảo chuyển khoản thêm lần nữa rồi nói sẽ hoàn tiền sau, và đến hnay là 1 tuần chưa hoàn tiền cho số đt nhưng gọi không bắt máy"
"Sau khi tôi chuyển khoản thanh toán, máy báo lỗi không xuất hóa đơn. Thay vì hoàn tiền, cửa hàng yêu cầu tôi chuyển khoản thêm lần nữa với lý do sẽ hoàn tiền sau đó. Đã một tuần rồi mà tôi vẫn chưa nhận được tiền hoàn lại và không thể liên lạc được với họ qua điện thoại.",0,"thanh toán chuyển khoản xong, máy báo lỗi không ra hoá đơn cửa hàng không hoàn tiền mà bảo chuyển khoản thêm lần nữa rồi nói sẽ hoàn tiền sau, và đến hnay là 1 tuần chưa hoàn tiền cho số đt nhưng gọi không bắt máy"
