text,label
"khi đặt_hàng ở đây , hãy chuẩn_bị cho thực_tế là bạn sẽ không chờ_đợi nhân_viên giúp_đỡ , bởi_vì người việt_nam sử_dụng một nhân_viên duy_nhất làm người phục_vụ , buộc anh ta phải hoàn_toàn đặt_hàng tại điểm tự đặt_hàng và chỉ cho anh ta thấy một ngón tay để nhấn . đây là đáy . tại_sao nhân_viên ở đây không coi_trọng quá nhiều và không làm công_việc của họ một câu hỏi khác . thực_tế là nếu bạn cần giúp_đỡ , nhân_viên sẽ bận_rộn với một_số điều vô_nghĩa",0
lựa_chọn dễ_dàng nhân_viên chu_đáo,2
đắt hơn các quốc_gia khác .,0
bãi đậu xe miễn_phí là một lời_nói dối,0
"mcdonald ở hà_nội , việt_nam . nó có vị gần như giống như mcdonald ở nhật_bản , nhưng có một kiểu gạo phổ_biến đối_với mcdonald ở đông nam á . gà là giòn và đủ ngon_ngọt . gạo là một_chút của một_chút một_chút của một_chút một_chút của một_chút một_chút của một_chút một_chút của một_chút khoai_tây chiên , cốm gà và bánh_mì kẹp thịt có_thể nóng trong hương_vị thông_thường của chúng . có chỗ ngồi trên tầng hai , vì_vậy nếu bạn may_mắn , bạn có_thể tìm thấy chúng . hơn_nữa , vì việc đặt_hàng được thực_hiện thông_qua một bảng điều_khiển điện_tử , sẽ khá khó_khăn nếu bạn không_thể quen với nó .",2
như mọi macdonal,2
cheeseburger deluxe cheeseburger thông_thường trông như_thế_nào,0
"gây sốc nhất tôi đã đặt một chiếc burger gà , có một mẫu cắn , không còn nữa . giá không biện_minh cho burger , tôi trả lại món ăn và yêu_cầu trả lại tiền của tôi . sau một cuộc cãi_vã , tôi đã nhận được tiền của mình và lấy đi . chỉ đơn_giản là trong một sự ô_nhục",0
nhân_viên mắt dậy thật,0
"mỗi lần vào ăn có hoá_đơn thanh_toán mang ra cho bảo_vệ thì ngta vẫn thu tiền tôi cần ban quản_lý sử lý vấn_đề này . tôi không phải người keo_kiệt nhưng cách xin tiền đểu của bảo_vệ ở đây tôi thật_sự không thích , mỗi cửa_hàng khi mở ra sẽ có chỗ để xe cho khách_hàng chúng_tôi để chứ không phải để chúng_tôi vào ăn còn mất tiền thuê chỗ để xe như_vậy",0
địa_điểm của giới nhà giàu,1
cho 1s không cần lý_do,0
điều_hoà hơi nóng,0
đông quá và đồ_ăn cũng bình_thường .,2
nhiều loại nước sốt,1
rất ngon,2
"kinh_nghiệm đáng kinh_ngạc đã đến trong các bức ảnh của 1 p.m. trong thời_gian của cô ấy , đồng_đội của tôi đã tiếp_tục bị chen_lấn bởi những người thiếu kiên_nhẫn . không lâu tôi hầu_như không nói vé cho đơn đặt_hàng của chúng_tôi đã phát_hành người phụ_nữ với một nhân_viên vội_vã phát_hành thiết_bị_đầu_cuối mà chúng_tôi đang mất quá nhiều thời_gian trong một giai_điệu khó_chịu chúng_tôi đã phục_hồi đơn đặt_hàng của chúng_tôi khá nhanh mặc_dù đám đông và sau đó đi ra ngoài ăn bên ngoài . điều không ngạc_nhiên của tôi khi tôi phát_hiện ra rằng chiếc bánh burger của tôi không tương_ứng với bất_cứ điều gì tôi đã đặt_hàng . mặc_dù giá_cả là chính_xác cho các đồng_nghiệp châu_âu của tôi , những người đọc cho tôi , bạn sẽ cần phải trả khoảng 5 cho một thực_đơn rộng .",2
đồ_ăn không quá khác_biệt so với lotteria hay kfc . giá hơi đắt và hiện rất đông khách,1
tôi phải chờ hơn 1h để được phục_vụ phần mà tôi đã thanh_toán,2
khó cưỡng lại việc dừng lại để giảm 50 mac lớn .,1
"những người đặt 45 ngôi_sao không ở mcdonalds bình_thường . không có một củ khoai_tây ngon , một loại phô_mai là như_vậy , có bụi bẩn trên bàn và sàn , trên cửa_sổ bạn có_thể thấy khuôn màu đen , mặc_dù thoạt nhìn nhà_hàng trông có_thể chịu_đựng được . nó vẫn có mùi trong nhà_vệ_sinh . poppy tồi_tệ nhất mà tôi là , diesel và không mô_tả .",0
"đó là mac làm . dịch_vụ là tuyệt_vời . chúng nhanh và hiệu_quả . tôi không tìm thấy nữa . sau đó , đó là mac làm . không có gì đặc_biệt để nói .",2
máy_điều_hoà không_khí có_thể mạnh hơn không,2
nhân_viên tệ,0
đồ_ăn không quá ngon so với giá,2
là nơi giải_quyết buổi ăn nhanh_chóng .,1
ngon bá cháy không còn ji để phàn_nàn hết .,1
quá tệ ngoài cái mác mcdonals,0
ngay ngã tu đối_diện tràng tiền plaza,1
"nhân_viên không nhiệt_tình , tỏ thái_độ với khách_hàng , đồ_ăn thì chờ mãi không được.nhân viên cần chỉnh_sửa lại thái_độ phục_vụ",0
"một trong những trải_nghiệm tồi_tệ nhất của mcdonald mcdonald mà tôi từng có . trước_hết , đơn đặt_hàng của chúng_tôi đã bị lãng_quên và chúng_tôi phải hỏi sau khoảng 15 phút khi nó biến mất trên màn_hình . sau khi nhân_viên không thân_thiện đã cho chúng_tôi đơn đặt_hàng của chúng_tôi và chúng_tôi đã đi đến bàn của chúng_tôi , chúng_tôi nhận thấy rằng burger của chúng_tôi đã hoàn_toàn tách ra và một_nửa thậm_chí còn ở trong túi . chất_lượng thực_phẩm là bên cạnh cái nhìn như mcdonald , và không khác lắm với châu âutây mcdonald . bên cạnh đó tôi sẽ không khuyên bạn nên đến nhà_hàng này .",0
đây là 1 tiệm hamburger rất ngon tuy_nhiên giá_cả khá đắt vì theo tiêu_chuẩn nước_ngoài .,1
có rất nhiều chỗ ngồi bên trong và bên ngoài để bạn luôn có_thể tìm thấy một chỗ ngồi có sẵn ở đó mặc_dù cửa_hàng thường đông_đúc . họ có dịch_vụ lái_xe để lấy thứ_tự mà tôi thấy rất thuận_tiện .,1
ghé thăm một người vợ yếu_đuối trong thực_phẩm địa_phương . bánh_mì kẹp thịt quá khác nhau .,2
mcdonald tuyệt_vời trên đường chính các nhân_viên rất thân_thiện và cô gái trẻ tại sổ đăng_ký nói tiếng anh rất tốt . rất hài_lòng với dịch_vụ và chất_lượng thực_phẩm . cảm_ơn các nhân_viên vì một trải_nghiệm tuyệt_vời,1
"cảm_ơn các bạn , khi mình gặp khó_khăn các bạn đã hỗ_trợ mình hết_sức",1
"nhân_viên lịch_sự , phục_vụ nhiệt_tình . đồ_ăn bình_thường , hơi mặn",2
vị_trí tốt,2
"nếu bạn không biết mcdonald là như_thế_nào , sẽ không có mô_tả nào về tôi .",2
bình_thường,2
"gà ngon , sốt mù_tạt mật_ong siêu đỉnh luôn nhá . không_gian khá rộng nhưng lần nào đi cũng rất đông",1
"bãi đậu xe rộng , thoáng . nhân_viên vui_vẻ , nhanh_nhẹn",1
