Review,Sentiment,tokenized_text,emoji to text,emoji to text + stopwords
thức ăn và dịch vụ hoàn hảo,1,thức_ăn và dịch_vụ hoàn_hảo,thức_ăn và dịch_vụ hoàn_hảo,thức_ăn dịch_vụ hoàn_hảo
toàn bọn tây ba lô,1,toàn bọn tây ba_lô,toàn bọn tây ba_lô,toàn bọn tây ba_lô
đây là 1 tiệm hamburger rất ngon tuy nhiên giá cả khá đắt vì theo tiêu chuẩn nước ngoài.,1,đây là 1 tiệm hamburger rất ngon tuy_nhiên giá_cả khá đắt vì theo tiêu_chuẩn nước_ngoài .,đây là 1 tiệm hamburger rất ngon tuy_nhiên giá_cả khá đắt vì theo tiêu_chuẩn nước_ngoài .,1 tiệm hamburger ngon tuy_nhiên giá_cả đắt tiêu_chuẩn nước_ngoài
"nó có kích thước quá nhỏ gà so với những con khác,",1,"nó có kích_thước quá nhỏ gà so với những con khác ,","nó có kích_thước quá nhỏ gà so với những con khác ,",kích_thước gà
"đồ ăn ngon, không gian rộng rãi thoáng mát, view nhìn ra vòng xoay đẹp. có drive thru. điểm trừ là quá đông con nít chạy tán loạn mà không có nhân viên quản lý hay là nhắc nhở để làm phiền thực khách khác",1,"đồ_ăn ngon , không_gian rộng_rãi thoáng mát , view nhìn ra vòng xoay đẹp . có drive thru . điểm trừ là quá đông con_nít chạy tán_loạn mà không có nhân_viên quản_lý hay là nhắc_nhở để làm_phiền thực_khách khác","đồ_ăn ngon , không_gian rộng_rãi thoáng mát , view nhìn ra vòng xoay đẹp . có drive thru . điểm trừ là quá đông con_nít chạy tán_loạn mà không có nhân_viên quản_lý hay là nhắc_nhở để làm_phiền thực_khách khác",đồ_ăn ngon không_gian rộng_rãi thoáng mát view vòng xoay đẹp drive thru trừ đông con_nít chạy tán_loạn nhân_viên quản_lý nhắc_nhở làm_phiền thực_khách
mcdonalds hồ gươm,1,mcdonalds hồ gươm,mcdonalds hồ gươm,mcdonalds hồ gươm
một mcdonalds 24 giờ. luôn luôn nhắc dịch vụ. và khoai tây chiên luôn tuyệt vời. chỉ cần cho họ ăn ở đó ... không lấy đi. nơi đầu tiên tôi đến khi có thời gian đi ăn đồ ăn vặt .... luôn luôn là mcdonalds. tôi có thể tùy chỉnh số lượng dưa chua tôi đặt trên một chiếc burger ..... đó là một chiến thắng trong cuốn sách của tôi.,1,một mcdonalds 24 giờ . luôn_luôn nhắc dịch_vụ . và khoai_tây chiên luôn tuyệt_vời . chỉ cần cho họ ăn_ở đó ... không lấy đi . nơi đầu_tiên tôi đến khi có thời_gian đi ăn đồ_ăn vặt .... luôn_luôn là mcdonalds . tôi có_thể tuỳ chỉnh số_lượng dưa chua tôi đặt trên một chiếc burger ..... đó là một chiến_thắng trong cuốn sách của tôi .,một mcdonalds 24 giờ . luôn_luôn nhắc dịch_vụ . và khoai_tây chiên luôn tuyệt_vời . chỉ cần cho họ ăn_ở đó ... không lấy đi . nơi đầu_tiên tôi đến khi có thời_gian đi ăn đồ_ăn vặt .... luôn_luôn là mcdonalds . tôi có_thể tuỳ chỉnh số_lượng dưa chua tôi đặt trên một chiếc burger ..... đó là một chiến_thắng trong cuốn sách của tôi .,mcdonalds 24 luôn_luôn nhắc dịch_vụ khoai_tây chiên tuyệt_vời ăn_ở ... đầu_tiên thời_gian đồ_ăn vặt .... luôn_luôn mcdonalds có_thể tuỳ chỉnh số_lượng dưa chua burger ..... chiến_thắng sách
"gà, hamburger và nước chấm ngon tuyệt",1,"gà , hamburger và nước_chấm ngon tuyệt","gà , hamburger và nước_chấm ngon tuyệt",gà hamburger nước_chấm ngon tuyệt
"vị trí kim cương ngay bên cạnh hồ hoan kiem trung tâm của thành phố. bên cạnh big mac điển hình của bạn, bạn có thể tìm thấy thực đơn định vị như thịt gà nướng, và nếu may mắn, vật phẩm theo mùa như pho burger.",1,"vị_trí kim_cương ngay bên cạnh hồ hoan kiem trung_tâm của thành_phố . bên cạnh big mac điển_hình của bạn , bạn có_thể tìm thấy thực_đơn định_vị như thịt gà nướng , và nếu may_mắn , vật_phẩm theo mùa như pho burger .","vị_trí kim_cương ngay bên cạnh hồ hoan kiem trung_tâm của thành_phố . bên cạnh big mac điển_hình của bạn , bạn có_thể tìm thấy thực_đơn định_vị như thịt gà nướng , và nếu may_mắn , vật_phẩm theo mùa như pho burger .",vị_trí kim_cương cạnh hồ hoan kiem trung_tâm thành_phố cạnh big mac điển_hình có_thể thực_đơn định_vị thịt gà nướng may_mắn vật_phẩm mùa burger
nhiều loại nước sốt,1,nhiều loại nước sốt,nhiều loại nước sốt,sốt
