role,content
user,"Review: việt nam là một quốc gia hào phóng trong việc hút thuốc, nhưng có những sinh viên đại học hút thuốc trong nhà ... nhân viên không kiềm chế.. Sentiment: 2"
user,Review: không gian ok hamburger không ngon. Sentiment: 2
user,"Review: mcdonalds tiêu chuẩn, hợp lý nếu bạn bỏ lỡ một chiếc bánh hamburger giá rẻ. khi tôi đi thì trống rỗng vì du lịch pandemi vẫn còn bắt đầu.. Sentiment: 2"
user,Review: bảo vệ thu thêm tiền gửi xe. mà kp khách nào cũng thu. có thể là biển tỉnh lẻ sẽ thu thêm. Sentiment: 2
user,Review: thử nghiệm việt nam. Sentiment: 2
user,"Review: thức ăn là ok khi chúng tôi ở đó, nó có đầy đủ các gia đình và toàn bộ nơi có mùi như cống rất may, thời gian poop0o của tôi sau đó là aok, vì vậy 3💫. Sentiment: 2"
user,Review: không có gì đặc biệt. Sentiment: 2
user,"Review: mcdonald ở hà nội, việt nam. nó có vị gần như giống như mcdonald ở nhật bản, nhưng có một kiểu gạo phổ biến đối với mcdonald ở đông nam á. gà là giòn và đủ ngon ngọt. gạo là một chút của một chút một chút của một chút một chút của một chút một chút của một chút một chút của một chút khoai tây chiên, cốm gà và bánh mì kẹp thịt có thể nóng trong hương vị thông thường của chúng. có chỗ ngồi trên tầng hai, vì vậy nếu bạn may mắn, bạn có thể tìm thấy chúng. hơn nữa, vì việc đặt hàng được thực hiện thông qua một bảng điều khiển điện tử, sẽ khá khó khăn nếu bạn không thể quen với nó.. Sentiment: 2"
user,"Review: tất nhiên là cực kỳ tốn kém, nhưng đôi khi là chuẩn mực. Sentiment: 2"
user,"Review: tầng thứ hai luôn ẩm và không khí xấu và mùi kỳ lạ. do vị trí, nó luôn luôn đông đúc. khách hàng không tự vứt rác, vì vậy họ không hiệu quả, họ cần nhân viên để dọn rác từ khách hàng trước mặt họ để ngồi xuống. việc đặt hàng và đón được tự động hóa nên nó trơn tru. các nhân viên làm việc chăm chỉ.. Sentiment: 2"
user,Review: mc donald bờ hồ vị trí đẹp. muốn ăn md mình thường ghé vào đây thik nhất món kem và bánh big mc. Sentiment: 2
user,"Review: thức ăn và phục vụ là ok, nhưng tôi có thể đặt hàng trực tuyến với bất kỳ ứng dụng nào. phòng vệ sinh bị bẩn. một thời gian không gian giống như một bãi rác. Sentiment: 2"
user,Review: chỉ cần mcdonald hahaha. Sentiment: 2
user,"Review: chất lượng đồ ăn thì không có gì phải nói tuy nhiên cách thức làm việc ở nhà hàng này lại không hiệu quả chút nào quán không có loa thông báo vì quán rất đông khách, lượng người chờ lấy đồ là rất lớn, có những khách tây hoặc người chờ lấy đồ tại bàn thì không thể nghe hoặc hiểu được nếu như nhân viên chỉ gào mồm lên đọc đơn số... ra nhận hàng nơi này thực sự cần một hệ thống loa và mic để nhân viên đọc số thứ tự trên loa tránh cho việc đồ làm xong nhưng người nhận không biết cứ chờ và và lượng khách tới liên tục sẽ gây hiện tượng chờ đồ lâu, ách tắc không cần thiết. Sentiment: 2"
user,Review: tôi phải chờ hơn 1h để được phục vụ phần mà tôi đã thanh toán. Sentiment: 2
user,Review: rất chậm và trên lầu rất bẩn. Sentiment: 2
user,Review: pho burger không ngon lắm. Sentiment: 2
user,Review: nhân viên nhiệt tình. Sentiment: 2
user,Review: chờ một thời gian dài. Sentiment: 2
user,"Review: có món cho buổi sáng, bánh hơi dai với cứng. Sentiment: 2"
user,Review: quá giá và béo ngậy.. Sentiment: 2
user,Review: nó không có gì khác với mcdonald ở nhật bản. có cà phê việt nam không. Sentiment: 2
